ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,gene_effect,is_medulloblastoma,gene
"ACH-002047","HIRS-BM","Uterus","Endometrial Carcinoma","Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor","UCS",NA,FALSE,"HLX"
"ACH-002048","RMS-YM","Soft Tissue","Rhabdomyosarcoma","Embryonal Rhabdomyosarcoma","ERMS",0.0112489459508921,FALSE,"HLX"
"ACH-002050","HTST","Other","Extra Gonadal Germ Cell Tumor","Extra Gonadal Germ Cell Tumor","EGCT",NA,FALSE,"HLX"
"ACH-002051","Lu-134-A","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",-0.0410344566090439,FALSE,"HLX"
"ACH-002052","Lu-139","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",0.0168710639185759,FALSE,"HLX"
"ACH-002055","TL-1","Lymphoid","Mature B-Cell Neoplasms","Burkitt Lymphoma","BL",0.062351920168078,FALSE,"HLX"
"ACH-002058","ATN-1","Lymphoid","Mature T and NK Neoplasms","Adult T-Cell Leukemia/Lymphoma","ATLL",NA,FALSE,"HLX"
"ACH-002059","P30/OHK","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","BLL",-0.237629615736734,FALSE,"HLX"
"ACH-002060","MY","Myeloid","Acute Leukemias of Ambiguous Lineage","Acute Leukemias of Ambiguous Lineage","ALAL",NA,FALSE,"HLX"
"ACH-002061","P2UR/K-562","Myeloid","Myeloproliferative Neoplasms","Chronic Myeloid Leukemia, BCR-ABL1+","CMLBCRABL1",-0.0607616580099662,FALSE,"HLX"
"ACH-002062","SLVL","Lymphoid","Mature B-Cell Neoplasms","Splenic Marginal Zone Lymphoma","SMZL",0.119041275111294,FALSE,"HLX"
"ACH-002065","HS-PSS","Peripheral Nervous System","Nerve Sheath Tumor","Malignant Peripheral Nerve Sheath Tumor","MPNST",NA,FALSE,"HLX"
"ACH-002066","HS-Sch-2","Peripheral Nervous System","Nerve Sheath Tumor","Malignant Peripheral Nerve Sheath Tumor","MPNST",0.036283609843874,FALSE,"HLX"
"ACH-002067","NOS-1","Bone","Osteosarcoma","Osteosarcoma","OS",0.0205561339390842,FALSE,"HLX"
"ACH-002069","HS-Os-1","Bone","Osteosarcoma","Osteosarcoma","OS",-0.0414775512474909,FALSE,"HLX"
"ACH-002070","HKBMM","CNS/Brain","Meningothelial Tumor","Meningioma","MNG",-1.15299930224546,FALSE,"HLX"
"ACH-002074","Lu-143","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",NA,FALSE,"HLX"
"ACH-002075","Lu-138","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",NA,FALSE,"HLX"
"ACH-002077","Lu-165","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",0.0447730916962996,FALSE,"HLX"
"ACH-002080","TN-2","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","NBL",0.0363550514344111,FALSE,"HLX"
"ACH-002083","NB69","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","NBL",-0.189544475217364,FALSE,"HLX"
"ACH-002084","MMAc","Skin","Melanoma","Melanoma","MEL",-0.000323595258029424,FALSE,"HLX"
"ACH-002085","HS-SY-II","Soft Tissue","Synovial Sarcoma","Synovial Sarcoma","SYNS",NA,FALSE,"HLX"
"ACH-002089","201T","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",NA,FALSE,"HLX"
"ACH-002090","BB65-RCC","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","RCC",NA,FALSE,"HLX"
"ACH-002091","CAL-39","Vulva/Vagina","Squamous Cell Carcinoma of the Vulva/Vagina","Squamous Cell Carcinoma of the Vulva/Vagina","VSC",NA,FALSE,"HLX"
"ACH-002092","CHSA0011","Bone","Chondrosarcoma","Chondrosarcoma","CHS",NA,FALSE,"HLX"
"ACH-002093","CHSA0108","Bone","Chondrosarcoma","Chondrosarcoma","CHS",NA,FALSE,"HLX"
"ACH-002094","CHSA8926","Bone","Chondrosarcoma","Chondrosarcoma","CHS",NA,FALSE,"HLX"
"ACH-002095","COR-L303","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",NA,FALSE,"HLX"
"ACH-002096","CP50-MEL-B","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"HLX"
"ACH-002097","CP66-MEL","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"HLX"
"ACH-002098","CP67-MEL","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"HLX"
"ACH-002099","CS1","Bone","Chondrosarcoma","Chondrosarcoma","CHS",NA,FALSE,"HLX"
"ACH-002100","DJM-1","Skin","Cutaneous Squamous Cell Carcinoma","Cutaneous Squamous Cell Carcinoma","CSCC",NA,FALSE,"HLX"
"ACH-002101","EMC-BAC-1","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","NSCLC",NA,FALSE,"HLX"
"ACH-002102","EMC-BAC-2","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","NSCLC",NA,FALSE,"HLX"
"ACH-002103","ES1","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",NA,FALSE,"HLX"
"ACH-002104","ES3","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",NA,FALSE,"HLX"
"ACH-002105","ES4","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",0.0533942759949627,FALSE,"HLX"
"ACH-002106","ES5","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",-0.0351215725857635,FALSE,"HLX"
"ACH-002107","ES6","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",NA,FALSE,"HLX"
"ACH-002108","ES7","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",NA,FALSE,"HLX"
"ACH-002109","ES8","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",0.13765691959033,FALSE,"HLX"
"ACH-002110","EW-1","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",-0.102790822497301,FALSE,"HLX"
"ACH-002111","EW-11","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",NA,FALSE,"HLX"
"ACH-002112","EW-12","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",NA,FALSE,"HLX"
"ACH-002113","EW-13","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",NA,FALSE,"HLX"
"ACH-002114","EW-16","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",-0.10010140245926,FALSE,"HLX"
"ACH-002115","EW-18","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",NA,FALSE,"HLX"
"ACH-002116","EW-22","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",-0.0445669215884918,FALSE,"HLX"
"ACH-002117","EW-24","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",NA,FALSE,"HLX"
"ACH-002118","EW-3","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",NA,FALSE,"HLX"
"ACH-002119","EW-7","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",-0.0786478378454629,FALSE,"HLX"
"ACH-002120","GAK","Vulva/Vagina","Mucosal Melanoma of the Vulva/Vagina","Mucosal Melanoma of the Vulva/Vagina","VMM",NA,FALSE,"HLX"
"ACH-002121","G-MEL","Skin","Melanoma","Cutaneous Melanoma","SKCM",NA,FALSE,"HLX"
"ACH-002122","GT3TKB","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","LUSC",NA,FALSE,"HLX"
"ACH-002123","H2369","Pleura","Pleural Mesothelioma","Pleural Mesothelioma","PLMESO",NA,FALSE,"HLX"
"ACH-002124","H2373","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Sarcomatoid Type","PLSMESO",NA,FALSE,"HLX"
"ACH-002125","H2461","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","PLEMESO",NA,FALSE,"HLX"
"ACH-002126","H2591","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","PLEMESO",NA,FALSE,"HLX"
"ACH-002127","H2595","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","PLEMESO",NA,FALSE,"HLX"
