ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,gene_effect,is_medulloblastoma,gene
"ACH-003111","Hs 856.T","Soft Tissue","Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma","Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma","MFH",NA,FALSE,"HMGCR"
"ACH-003119","NCI-H1450","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",NA,FALSE,"HMGCR"
"ACH-003120","NCI-H1607","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",NA,FALSE,"HMGCR"
"ACH-003121","NCI-H2679","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",NA,FALSE,"HMGCR"
"ACH-003125","ASPS-KY","Soft Tissue","Alveolar Soft Part Sarcoma","Alveolar Soft Part Sarcoma","ASPS",NA,FALSE,"HMGCR"
"ACH-003132","ABM-T0009","","Non-Cancerous","Immortalized Human Intervertebral Disc Cartilage Endplate-derived Stem Cells","",NA,FALSE,"HMGCR"
"ACH-003133","ABM-T0021","","Non-Cancerous","Immortalized Human Chondrocytes","",NA,FALSE,"HMGCR"
"ACH-003134","ABM-T0168","","Non-Cancerous","Immortalized Human Pancreatic Mesenchymal Stem Cells - hTERT","",NA,FALSE,"HMGCR"
"ACH-003135","ABM-T0280","CNS/Brain","Non-Cancerous","Immortalized Astrocytes, Fetal","",NA,FALSE,"HMGCR"
"ACH-003136","ABM-T0023","","Non-Cancerous","Immortalized Human Chondrocytes – hTERT","",NA,FALSE,"HMGCR"
"ACH-003137","ABM-T0281","CNS/Brain","Non-Cancerous","Immortalized Astrocytes, Fetal","",NA,FALSE,"HMGCR"
"ACH-003138","ABM-T0292","CNS/Brain","Non-Cancerous","Immortalized Endothelial Cells, Endoneurial","",NA,FALSE,"HMGCR"
"ACH-003139","ABM-T0457","Muscle","Non-Cancerous","Immortalized Cardiomyocytes","",NA,FALSE,"HMGCR"
"ACH-003141","ABM-T0557","Muscle","Non-Cancerous","immortalized Smooth Muscle Cells, Coronary artery","",NA,FALSE,"HMGCR"
"ACH-003142","ABM-T0558","Muscle","Non-Cancerous","Immortalized Smooth Muscle Cells, Pulmonary artery","",NA,FALSE,"HMGCR"
"ACH-003143","ABM-T0616","Kidney","Non-Cancerous","Immortalized Epithelial Cells, Renal","",NA,FALSE,"HMGCR"
"ACH-003145","ABM-T0725","Embryonal","Non-Cancerous","Immortalized Endothelial Cells, Umbilical Vein","",NA,FALSE,"HMGCR"
"ACH-003147","ABM-T0732","","Non-Cancerous","Immortalized Submandibular Gland Cells","",NA,FALSE,"HMGCR"
"ACH-003148","ABM-T0781","CNS/Brain","Non-Cancerous","Immortalized Neuronal Progenitor Cells","",NA,FALSE,"HMGCR"
"ACH-003149","ABM-T0782","Muscle","Non-Cancerous","Immortalized Skeletal Muscle Cells","",NA,FALSE,"HMGCR"
"ACH-003150","ABM-T0783","CNS/Brain","Non-Cancerous","Immortalized Astrocytes, Adult","",NA,FALSE,"HMGCR"
"ACH-003152","ABM-T0796","Lung","Non-Cancerous","Immortalized Epithelial Cells, Lung","",NA,FALSE,"HMGCR"
"ACH-003153","ABM-T0794","Lung","Non-Cancerous","Immortalized Epithelial Cells, Lung","",NA,FALSE,"HMGCR"
"ACH-003154","ABM-T0795","Lung","Non-Cancerous","Immortalized Epithelial Cells, Lung","",NA,FALSE,"HMGCR"
"ACH-003155","ABM-T0789","Liver","Non-Cancerous","Immortalized Liver Cells, Fetal","",NA,FALSE,"HMGCR"
"ACH-003156","ABM-T0797","Lung","Non-Cancerous","Immortalized Epithelial Cells, Lung","",NA,FALSE,"HMGCR"
"ACH-003157","ABM-T0822","Lung","Non-Cancerous","Immortalized MPLC Cells","",NA,FALSE,"HMGCR"
"ACH-003158","ABM-T9220","Muscle","Non-Cancerous","Immortalized Smooth Muscle Cells, Intestinal","",NA,FALSE,"HMGCR"
"ACH-003159","ABM-T9233","Hair","Non-Cancerous","Immortalized Hair Follicle Inner Root Sheath Cells","",NA,FALSE,"HMGCR"
"ACH-003160","ABM-T9249","Hair","Non-Cancerous","Immortalized Hair Germinal Matrix Cells","",NA,FALSE,"HMGCR"
"ACH-003161","ABM-T9430","Pancreas","Non-Cancerous","Immortalized Pancreatic Stromal Cells","",NA,FALSE,"HMGCR"
"ACH-003177","NRH-UPS1","Soft Tissue","Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma","Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma","MFH",-0.689961590995985,FALSE,"HMGCR"
