ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,gene_effect,is_medulloblastoma,gene
"ACH-000425","UACC-62","Skin","Melanoma","Melanoma","MEL",-0.339159370660298,FALSE,"SLC2A1"
"ACH-000426","KMS-20","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","PCM",-0.883108747470581,FALSE,"SLC2A1"
"ACH-000427","NCI-N87","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Tubular Stomach Adenocarcinoma","TSTAD",-0.225634615847207,FALSE,"SLC2A1"
"ACH-000428","UO-31","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","RCC",NA,FALSE,"SLC2A1"
"ACH-000429","A-704","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","RCC",NA,FALSE,"SLC2A1"
"ACH-000430","TYK-nu","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","HGSOC",0.0745503532752116,FALSE,"SLC2A1"
"ACH-000431","NCI-H1694","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",-1.11772045833654,FALSE,"SLC2A1"
"ACH-000432","BV-173","Myeloid","Myeloproliferative Neoplasms","Chronic Myeloid Leukemia, BCR-ABL1+","CMLBCRABL1",NA,FALSE,"SLC2A1"
"ACH-000433","Caki-1","Kidney","Renal Cell Carcinoma","Renal Clear Cell Carcinoma","CCRCC",-0.255774352466979,FALSE,"SLC2A1"
"ACH-000434","NCI-H1915","Lung","Non-Small Cell Lung Cancer","Large Cell Lung Carcinoma","LCLC",0.0319996954779179,FALSE,"SLC2A1"
"ACH-000435","EFE-184","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","UCEC",-0.554992123100435,FALSE,"SLC2A1"
"ACH-000436","OCI-My7","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","PCM",-1.14440848870407,FALSE,"SLC2A1"
"ACH-000437","SW 1088","CNS/Brain","Diffuse Glioma","Astrocytoma","ASTR",0.00685070410983446,FALSE,"SLC2A1"
"ACH-000438","Lu-65","Lung","Non-Small Cell Lung Cancer","Giant Cell Carcinoma of the Lung","GCLC",-0.482505691825724,FALSE,"SLC2A1"
"ACH-000439","ME-1","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML",NA,FALSE,"SLC2A1"
"ACH-000440","CA46","Lymphoid","Mature B-Cell Neoplasms","Burkitt Lymphoma","BL",NA,FALSE,"SLC2A1"
"ACH-000441","SH-4","Skin","Melanoma","Melanoma","MEL",-0.000190154034032164,FALSE,"SLC2A1"
"ACH-000442","RERF-LC-Sq1","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","LUSC",-0.520056110165672,FALSE,"SLC2A1"
"ACH-000443","OVKATE","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","HGSOC",NA,FALSE,"SLC2A1"
"ACH-000444","LU99","Lung","Non-Small Cell Lung Cancer","Giant Cell Carcinoma of the Lung","GCLC",-0.383491636835338,FALSE,"SLC2A1"
"ACH-000445","KNS-60","CNS/Brain","Diffuse Glioma","Glioblastoma","GB",-0.0632060012606381,FALSE,"SLC2A1"
"ACH-000446","KP-N-SI9s","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","NBL",-0.299323117821359,FALSE,"SLC2A1"
"ACH-000447","NCI-H2228","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",NA,FALSE,"SLC2A1"
"ACH-000448","NCI-H1666","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",-0.442446418415464,FALSE,"SLC2A1"
"ACH-000449","MES-SA","Uterus","Uterine Sarcoma/Mesenchymal","Uterine Sarcoma/Mesenchymal","USARC",NA,FALSE,"SLC2A1"
"ACH-000450","MEL-HO","Skin","Melanoma","Melanoma","MEL",0.150953455606686,FALSE,"SLC2A1"
"ACH-000451","NCI-H2085","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",NA,FALSE,"SLC2A1"
"ACH-000452","TE-8","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ESCC",-0.355588450553336,FALSE,"SLC2A1"
"ACH-000453","MOLP-2","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","PCM",NA,FALSE,"SLC2A1"
"ACH-000454","HCC-95","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","LUSC",-0.284183197912805,FALSE,"SLC2A1"
"ACH-000455","LN-428","CNS/Brain","Diffuse Glioma","Glioblastoma","GB",-0.346274930452757,FALSE,"SLC2A1"
"ACH-000456","B-CPAP","Thyroid","Poorly Differentiated Thyroid Cancer","Poorly Differentiated Thyroid Cancer","THPD",-0.425956495252469,FALSE,"SLC2A1"
"ACH-000457","CAL-54","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","RCC",NA,FALSE,"SLC2A1"
"ACH-000458","CJM","Skin","Melanoma","Melanoma","MEL",-0.847075343963211,FALSE,"SLC2A1"
"ACH-000459","TUHR10TKB","Kidney","Renal Cell Carcinoma","Renal Clear Cell Carcinoma","CCRCC",0.0874170217070351,FALSE,"SLC2A1"
"ACH-000460","SNU-8","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Serous Ovarian Cancer","SOC",-0.86443140072135,FALSE,"SLC2A1"
"ACH-000461","SNU-1196","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Extrahepatic Cholangiocarcinoma","EHCH",-0.518062237826957,FALSE,"SLC2A1"
